Tahun,Bulan,Jenis,Hasanudin-Makassar,Juanda-Surabaya,Kualanamu-Medan,Ngurah Rai-Bali,Soekarno Hatta-Jakarta
2020,Agustus,Domestik,134043,186467,89451,83260,574597
2020,Agustus,Internasional,0,293,222,1461,28513
2020,April,Domestik,49046,97748,29386,44122,191002
2020,April,Internasional,0,1026,616,6752,17499
2020,Desember,Domestik,194363,244579,133574,189289,931481
2020,Desember,Internasional,0,826,510,196,56330
2020,Februari,Domestik,273885,481881,227602,346962,1551967
2020,Februari,Internasional,0,71723,63610,425633,444267
2020,Januari,Domestik,308503,553747,288819,453130,1600594
2020,Januari,Internasional,0,98475,96538,641039,626097
2020,Juli,Domestik,79957,121240,62904,41375,427731
2020,Juli,Internasional,0,482,357,2117,22618
2020,Juni,Domestik,40508,64137,28567,11396,174352
2020,Juni,Internasional,0,398,383,877,14619
2020,Maret,Domestik,230917,408725,172348,253517,1211697
2020,Maret,Internasional,0,22324,25325,274259,187899
2020,Mei,Domestik,6663,5397,3593,2423,27500
2020,Mei,Internasional,0,340,182,1624,9460
2020,November,Domestik,193428,238036,116956,169655,828893
2020,November,Internasional,0,1188,234,240,42028
2020,Oktober,Domestik,156486,182889,85663,99469,601391
2020,Oktober,Internasional,0,1620,217,93,36549
2020,September,Domestik,129773,162402,74638,80930,500591
2020,September,Internasional,0,407,279,391,32043
2020,Tahunan,Domestik,1797572,2747248,1313501,1775528,8621796
2020,Tahunan,Internasional,0,199102,188473,1354682,1517922
2021,Agustus,Domestik,66276,97491,49711,47409,321287
2021,Agustus,Internasional,0,236,88,419,42345
2021,April,Domestik,175885,219430,119306,142344,703135
2021,April,Internasional,0,1545,555,79,41100
2021,Desember,Domestik,182396,305669,161457,318264,1192278
2021,Desember,Internasional,0,53,31,320,95915
2021,Februari,Domestik,128429,152366,100191,71105,482132
2021,Februari,Internasional,0,1052,476,73,30819
2021,Januari,Domestik,163992,189560,157614,118965,507262
2021,Januari,Internasional,0,1252,379,198,48941
2021,Juli,Domestik,73783,74127,51362,49999,249940
2021,Juli,Internasional,0,451,188,159,45257
2021,Juni,Domestik,210516,346782,150762,225671,858770
2021,Juni,Internasional,0,1111,275,577,54120
2021,Maret,Domestik,166182,198457,122498,116888,672107
2021,Maret,Internasional,0,1153,715,200,38210
2021,Mei,Domestik,142954,210700,104644,121441,598615
2021,Mei,Internasional,0,1113,334,197,42513
2021,November,Domestik,182441,278750,143606,274179,974987
2021,November,Internasional,0,106,15,142,73898
2021,Oktober,Domestik,159016,231536,116465,224887,824287
2021,Oktober,Internasional,0,136,29,240,52031
2021,September,Domestik,112102,166499,80935,113912,560577
2021,September,Internasional,0,344,65,417,47081
2021,Tahunan,Domestik,1763972,2471367,1358551,1825064,7945377
2021,Tahunan,Internasional,0,8552,3150,3021,612230
2022,Agustus,Domestik,201465,346118,193350,341349,1367804
2022,Agustus,Internasional,0,52999,57612,298043,396039
2022,April,Domestik,179676,285101,166129,224687,1206248
2022,April,Internasional,0,14791,1994,47923,226557
2022,Desember,Domestik,216028,413988,198739,388008,1627832
2022,Desember,Internasional,0,80144,84790,356398,509441
2022,Februari,Domestik,156830,220164,137536,191034,808614
2022,Februari,Internasional,0,8,15,1028,100778
2022,Januari,Domestik,211736,301152,225304,317662,1069185
2022,Januari,Internasional,0,108,15,518,82944
2022,Juli,Domestik,246482,447785,230623,408296,1566606
2022,Juli,Internasional,0,28674,31716,250747,300055
2022,Juni,Domestik,229651,404070,217171,362418,1527629
2022,Juni,Internasional,0,43037,23176,170746,301893
2022,Maret,Domestik,219928,319093,177348,290652,1195183
2022,Maret,Internasional,0,2376,26,11453,173977
2022,Mei,Domestik,275356,501021,245423,395423,1561849
2022,Mei,Internasional,0,31804,16793,110403,307902
2022,November,Domestik,211856,371289,188598,317266,1418906
2022,November,Internasional,0,75726,66127,316073,443264
2022,Oktober,Domestik,210265,367656,189447,341780,1405625
2022,Oktober,Internasional,0,76741,69972,336915,463463
2022,September,Domestik,193865,339071,179483,299634,1310419
2022,September,Internasional,0,71917,63034,312284,445680
2022,Tahunan,Domestik,2553138,4316508,2349151,3878209,16065900
2022,Tahunan,Internasional,0,478325,415270,2212531,3751993
2023,Agustus,Domestik,225558,416647,209408,427258,1525937
2023,Agustus,Internasional,0,97501,76590,581283,634105
2023,April,Domestik,215723,387112,209681,332397,1490809
2023,April,Internasional,0,60882,72200,432068,476397
2023,Desember,Domestik,222794,446699,187584,429996,1712363
