Bandara,Tahun,Domestik_Januari,Domestik_Februari,Domestik_Maret,Domestik_April,Domestik_Mei,Domestik_Juni,Domestik_Juli,Domestik_Agustus,Domestik_September,Domestik_Oktober,Domestik_November,Domestik_Desember,Domestik_Tahunan
,2020,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2020,288819,227602,172348,29386,3593,28567,62904,89451,74638,85663,116956,133574,1313501
Soekarno Hatta-Jakarta,2020,1600594,1551967,1211697,191002,27500,174352,427731,574597,500591,601391,828893,931481,8621796
Juanda-Surabaya,2020,553747,481881,408725,97748,5397,64137,121240,186467,162402,182889,238036,244579,2747248
Hasanudin-Makassar,2020,308503,273885,230917,49046,6663,40508,79957,134043,129773,156486,193428,194363,1797572
Ngurah Rai-Bali,2020,453130,346962,253517,44122,2423,11396,41375,83260,80930,99469,169655,189289,1775528
,2021,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2021,157614,100191,122498,119306,104644,150762,51362,49711,80935,116465,143606,161457,1358551
Soekarno Hatta-Jakarta,2021,507262,482132,672107,703135,598615,858770,249940,321287,560577,824287,974987,1192278,7945377
Juanda-Surabaya,2021,189560,152366,198457,219430,210700,346782,74127,97491,166499,231536,278750,305669,2471367
Hasanudin-Makassar,2021,163992,128429,166182,175885,142954,210516,73783,66276,112102,159016,182441,182396,1763972
Ngurah Rai-Bali,2021,118965,71105,116888,142344,121441,225671,49999,47409,113912,224887,274179,318264,1825064
,2022,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2022,225304,137536,177348,166129,245423,217171,230623,193350,179483,189447,188598,198739,2349151
Soekarno Hatta-Jakarta,2022,1069185,808614,1195183,1206248,1561849,1527629,1566606,1367804,1310419,1405625,1418906,1627832,16065900
Juanda-Surabaya,2022,301152,220164,319093,285101,501021,404070,447785,346118,339071,367656,371289,413988,4316508
Hasanudin-Makassar,2022,211736,156830,219928,179676,275356,229651,246482,201465,193865,210265,211856,216028,2553138
Ngurah Rai-Bali,2022,317662,191034,290652,224687,395423,362418,408296,341349,299634,341780,317266,388008,3878209
,2023,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2023,255263,190693,197738,209681,251463,216748,248679,209408,190778,197989,187237,187584,2543261
Soekarno Hatta-Jakarta,2023,1419611,1295180,1452671,1490809,1645124,1608563,1737637,1525937,1468845,1582366,1599568,1712363,18538674
Juanda-Surabaya,2023,408885,364358,387720,387112,551152,435295,521681,416647,415522,448194,417901,446699,5201166
Hasanudin-Makassar,2023,231757,201365,226555,215723,269015,224500,290973,225558,223066,229951,224744,222794,2786001
Ngurah Rai-Bali,2023,395523,299968,329959,332397,380661,423745,489801,427258,389220,435859,386873,429996,4721260
,2024,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,2024,225772,178374,158265,230344,191394,190287,216423,190270,205372,177282,-,-,-
Soekarno Hatta-Jakarta,2024,1377314,1346856,1362594,1606572,1560672,1584802,1767891,1643381,1614542,1576731,-,-,-
Juanda-Surabaya,2024,407656,357400,356325,498901,498862,448073,519012,431557,435594,441084,-,-,-
Hasanudin-Makassar,2024,226312,197691,196465,267090,232896,233781,279344,242746,237863,229525,-,-,-
Ngurah Rai-Bali,2024,404413,355648,302332,386965,413208,395723,456189,450506,423374,386797,-,-,-
