Tahun,Bulan,Hasanudin-Makassar,Juanda-Surabaya,Kualanamu-Medan,Ngurah Rai-Bali,Soekarno Hatta-Jakarta
2020,Agustus (i),134043,186467,89451,83260,574597
2020,April (i),49046,97748,29386,44122,191002
2020,Desember (i),194363,244579,133574,189289,931481
2020,Februari (i),273885,481881,227602,346962,1551967
2020,Januari (i),308503,553747,288819,453130,1600594
2020,Juli (i),79957,121240,62904,41375,427731
2020,Juni (i),40508,64137,28567,11396,174352
2020,Maret (i),230917,408725,172348,253517,1211697
2020,Mei (i),6663,5397,3593,2423,27500
2020,November (i),193428,238036,116956,169655,828893
2020,Oktober (i),156486,182889,85663,99469,601391
2020,September (i),129773,162402,74638,80930,500591
2020,Tahunan (i),1797572,2747248,1313501,1775528,8621796
2021,Agustus (i),66276,97491,49711,47409,321287
2021,April (i),175885,219430,119306,142344,703135
2021,Desember (i),182396,305669,161457,318264,1192278
2021,Februari (i),128429,152366,100191,71105,482132
2021,Januari (i),163992,189560,157614,118965,507262
2021,Juli (i),73783,74127,51362,49999,249940
2021,Juni (i),210516,346782,150762,225671,858770
2021,Maret (i),166182,198457,122498,116888,672107
2021,Mei (i),142954,210700,104644,121441,598615
2021,November (i),182441,278750,143606,274179,974987
2021,Oktober (i),159016,231536,116465,224887,824287
2021,September (i),112102,166499,80935,113912,560577
2021,Tahunan (i),1763972,2471367,1358551,1825064,7945377
2022,Agustus (i),201465,346118,193350,341349,1367804
2022,April (i),179676,285101,166129,224687,1206248
2022,Desember (i),216028,413988,198739,388008,1627832
2022,Februari (i),156830,220164,137536,191034,808614
2022,Januari (i),211736,301152,225304,317662,1069185
2022,Juli (i),246482,447785,230623,408296,1566606
2022,Juni (i),229651,404070,217171,362418,1527629
2022,Maret (i),219928,319093,177348,290652,1195183
2022,Mei (i),275356,501021,245423,395423,1561849
2022,November (i),211856,371289,188598,317266,1418906
2022,Oktober (i),210265,367656,189447,341780,1405625
2022,September (i),193865,339071,179483,299634,1310419
2022,Tahunan (i),2553138,4316508,2349151,3878209,16065900
2023,Agustus (i),225558,416647,209408,427258,1525937
2023,April (i),215723,387112,209681,332397,1490809
2023,Desember (i),222794,446699,187584,429996,1712363
2023,Februari (i),201365,364358,190693,299968,1295180
2023,Januari (i),231757,408885,255263,395523,1419611
2023,Juli (i),290973,521681,248679,489801,1737637
2023,Juni (i),224500,435295,216748,423745,1608563
2023,Maret (i),226555,387720,197738,329959,1452671
2023,Mei (i),269015,551152,251463,380661,1645124
2023,November (i),224744,417901,187237,386873,1599568
2023,Oktober (i),229951,448194,197989,435859,1582366
2023,September (i),223066,415522,190778,389220,1468845
2023,Tahunan (i),2786001,5201166,2543261,4721260,18538674
2024,Agustus (i),242746,431557,190270,450506,1643381
2024,April (i),267090,498901,230344,386965,1606572
2024,Desember (i),-,-,-,-,-
2024,Februari (i),197691,357400,178374,355648,1346856
2024,Januari (i),226312,407656,225772,404413,1377314
2024,Juli (i),279344,519012,216423,456189,1767891
2024,Juni (i),233781,448073,190287,395723,1584802
2024,Maret (i),196465,356325,158265,302332,1362594
2024,Mei (i),232896,498862,191394,413208,1560672
2024,November (i),-,-,-,-,-
2024,Oktober (i),229525,441084,177282,386797,1576731
2024,September (i),237863,435594,205372,423374,1614542
2024,Tahunan (i),-,-,-,-,-
