Tahun,Bulan,Jenis,Hasanudin-Makassar,Juanda-Surabaya,Kualanamu-Medan,Ngurah Rai-Bali,Soekarno Hatta-Jakarta
2020,Agustus,Domestik,134043,186467,89451,83260,574597
2020,Agustus,Internasional,134043,186467,89451,83260,574597
2020,April,Domestik,49046,97748,29386,44122,191002
2020,April,Internasional,49046,97748,29386,44122,191002
2020,Desember,Domestik,194363,244579,133574,189289,931481
2020,Desember,Internasional,194363,244579,133574,189289,931481
2020,Februari,Domestik,273885,481881,227602,346962,1551967
2020,Februari,Internasional,273885,481881,227602,346962,1551967
2020,Januari,Domestik,308503,553747,288819,453130,1600594
2020,Januari,Internasional,308503,553747,288819,453130,1600594
2020,Juli,Domestik,79957,121240,62904,41375,427731
2020,Juli,Internasional,79957,121240,62904,41375,427731
2020,Juni,Domestik,40508,64137,28567,11396,174352
2020,Juni,Internasional,40508,64137,28567,11396,174352
2020,Maret,Domestik,230917,408725,172348,253517,1211697
2020,Maret,Internasional,230917,408725,172348,253517,1211697
2020,Mei,Domestik,6663,5397,3593,2423,27500
2020,Mei,Internasional,6663,5397,3593,2423,27500
2020,November,Domestik,193428,238036,116956,169655,828893
2020,November,Internasional,193428,238036,116956,169655,828893
2020,Oktober,Domestik,156486,182889,85663,99469,601391
2020,Oktober,Internasional,156486,182889,85663,99469,601391
2020,September,Domestik,129773,162402,74638,80930,500591
2020,September,Internasional,129773,162402,74638,80930,500591
2020,Tahunan,Domestik,1797572,2747248,1313501,1775528,8621796
2020,Tahunan,Internasional,1797572,2747248,1313501,1775528,8621796
2021,Agustus,Domestik,66276,97491,49711,47409,321287
2021,Agustus,Internasional,66276,97491,49711,47409,321287
2021,April,Domestik,175885,219430,119306,142344,703135
2021,April,Internasional,175885,219430,119306,142344,703135
2021,Desember,Domestik,182396,305669,161457,318264,1192278
2021,Desember,Internasional,182396,305669,161457,318264,1192278
2021,Februari,Domestik,128429,152366,100191,71105,482132
2021,Februari,Internasional,128429,152366,100191,71105,482132
2021,Januari,Domestik,163992,189560,157614,118965,507262
2021,Januari,Internasional,163992,189560,157614,118965,507262
2021,Juli,Domestik,73783,74127,51362,49999,249940
2021,Juli,Internasional,73783,74127,51362,49999,249940
2021,Juni,Domestik,210516,346782,150762,225671,858770
2021,Juni,Internasional,210516,346782,150762,225671,858770
2021,Maret,Domestik,166182,198457,122498,116888,672107
2021,Maret,Internasional,166182,198457,122498,116888,672107
2021,Mei,Domestik,142954,210700,104644,121441,598615
2021,Mei,Internasional,142954,210700,104644,121441,598615
2021,November,Domestik,182441,278750,143606,274179,974987
2021,November,Internasional,182441,278750,143606,274179,974987
2021,Oktober,Domestik,159016,231536,116465,224887,824287
2021,Oktober,Internasional,159016,231536,116465,224887,824287
2021,September,Domestik,112102,166499,80935,113912,560577
2021,September,Internasional,112102,166499,80935,113912,560577
2021,Tahunan,Domestik,1763972,2471367,1358551,1825064,7945377
2021,Tahunan,Internasional,1763972,2471367,1358551,1825064,7945377
2022,Agustus,Domestik,201465,346118,193350,341349,1367804
2022,Agustus,Internasional,201465,346118,193350,341349,1367804
2022,April,Domestik,179676,285101,166129,224687,1206248
2022,April,Internasional,179676,285101,166129,224687,1206248
2022,Desember,Domestik,216028,413988,198739,388008,1627832
2022,Desember,Internasional,216028,413988,198739,388008,1627832
2022,Februari,Domestik,156830,220164,137536,191034,808614
2022,Februari,Internasional,156830,220164,137536,191034,808614
2022,Januari,Domestik,211736,301152,225304,317662,1069185
2022,Januari,Internasional,211736,301152,225304,317662,1069185
2022,Juli,Domestik,246482,447785,230623,408296,1566606
2022,Juli,Internasional,246482,447785,230623,408296,1566606
